,contours
20,"[[[3588, 5105], [3718, 5120]], [[3561, 4606], [3692, 4598], [3704, 4949], [3582, 4956]], [[3049, 4321], [2909, 4305], [2839, 3935], [2979, 3958]], [[4275, 4056], [4407, 4017], [4421, 4301], [4296, 4329]], [[4051, 4810], [4180, 4804], [4187, 5132], [4059, 5134]], [[4011, 3909], [4143, 3857], [4162, 4201], [4024, 4226]], [[2615, 3911], [2476, 3912], [2400, 3571], [2523, 3563]], [[4136, 2981], [4268, 2904], [4291, 3268], [4174, 3303]], [[3765, 2393], [3913, 2353], [3986, 2737], [3830, 2761]], [[3832, 1656], [4079, 1610], [4178, 2115], [3974, 2152]], [[3640, 3308], [3764, 3286], [3834, 3558], [3720, 3627]], [[2317, 2710], [2182, 2700], [2219, 2510], [2329, 2493]]]"
21,"[[[3588, 5105], [3714, 5121]], [[3561, 4606], [3691, 4598], [3704, 4945], [3581, 4951]], [[3054, 4353], [2916, 4334], [2850, 3981], [2985, 3987]], [[4274, 4036], [4407, 3986], [4416, 4293], [4294, 4323]], [[4050, 4790], [4179, 4791], [4188, 5118], [4060, 5123]], [[4008, 3858], [4138, 3826], [4161, 4173], [4024, 4197]], [[2625, 3955], [2494, 3959], [2386, 3563], [2530, 3585]], [[3763, 2375], [3905, 2318], [3983, 2721], [3828, 2744]], [[4127, 2861], [4273, 2804], [4288, 3258], [4170, 3293]], [[3822, 1576], [4069, 1498], [4169, 2081], [3970, 2135]], [[2335, 2774], [2203, 2786], [2208, 2512], [2335, 2507]]]"
22,"[[[3588, 5105], [3717, 5125]], [[3561, 4606], [3690, 4598], [3704, 4945], [3581, 4951]], [[3059, 4384], [2922, 4365], [2860, 4016], [2993, 4016]], [[4048, 4777], [4177, 4772], [4187, 5103], [4056, 5110]], [[4274, 4004], [4407, 3966], [4415, 4272], [4292, 4303]], [[4006, 3828], [4136, 3793], [4159, 4151], [4022, 4169]], [[2627, 3978], [2492, 3971], [2397, 3593], [2528, 3598]], [[3769, 2410], [3906, 2355], [3977, 2688], [3824, 2728]], [[2013, 1075]], [[4122, 2810], [4262, 2738], [4283, 3217], [4169, 3241]], [[2317, 2740], [2197, 2760], [2189, 2476], [2325, 2493]]]"
23,"[[[3561, 4606], [3693, 4597], [3703, 4949], [3582, 4956]], [[3588, 5113], [3717, 5128]], [[3065, 4423], [2934, 4405], [2859, 4046], [2992, 4035]], [[4046, 4768], [4175, 4763], [4187, 5089], [4054, 5099]], [[4270, 3994], [4405, 3956], [4415, 4246], [4291, 4275]], [[4004, 3808], [4133, 3772], [4158, 4123], [4022, 4147]], [[2623, 3990], [2486, 3982], [2388, 3599], [2528, 3621]], [[2027, 1136]], [[3763, 2375], [3902, 2319], [3974, 2671], [3822, 2711]], [[3981, 1798], [3957, 1787], [4017, 1902], [4030, 1862]], [[4125, 2879], [4267, 2807], [4282, 3218], [4167, 3252]], [[2326, 2779], [2211, 2816], [2202, 2543], [2331, 2538]]]"
24,"[[[3561, 4606], [3693, 4597], [3703, 4949], [3582, 4956]], [[3593, 5121], [3721, 5131]], [[3067, 4445], [2941, 4437], [2863, 4073], [3004, 4076]], [[4045, 4755], [4173, 4750], [4188, 5064], [4051, 5073]], [[4269, 3984], [4404, 3934], [4412, 4226], [4292, 4254]], [[4004, 3818], [4134, 3771], [4158, 4117], [4020, 4140]], [[2629, 4024], [2494, 4006], [2391, 3622], [2527, 3633]], [[3761, 2358], [3901, 2301], [3970, 2655], [3817, 2695]], [[2029, 1135]], [[4116, 2830], [4248, 2744], [4252, 3190], [4165, 3201]], [[3811, 1475], [4053, 1393], [4134, 2035], [3959, 2065]], [[3629, 3220], [3746, 3175], [3810, 3450], [3688, 3500]], [[2350, 2833], [2210, 2830], [2212, 2557], [2331, 2538]], [[3383, 1993], [3490, 1959], [3561, 2195], [3421, 2223]]]"
25,"[[[3561, 4606], [3693, 4597], [3703, 4949], [3582, 4956]], [[3593, 5121], [3721, 5131]], [[3067, 4445], [2941, 4437], [2863, 4073], [3004, 4076]], [[4045, 4755], [4173, 4750], [4188, 5064], [4051, 5073]], [[4269, 3984], [4404, 3934], [4412, 4226], [4292, 4254]], [[4004, 3818], [4134, 3771], [4158, 4117], [4020, 4140]], [[2629, 4024], [2500, 4017], [2391, 3622], [2529, 3633]], [[3761, 2358], [3901, 2301], [3970, 2655], [3817, 2695]], [[2031, 1133]], [[4116, 2830], [4249, 2743], [4252, 3190], [4165, 3201]], [[3801, 1393], [4057, 1336], [4134, 2017], [3953, 2048]], [[3629, 3220], [3746, 3175], [3810, 3450], [3688, 3500]], [[2350, 2833], [2210, 2830], [2210, 2558], [2331, 2538]], [[3386, 2010], [3490, 1959], [3561, 2195], [3421, 2223]]]"
26,"[[[3561, 4606], [3688, 4593], [3703, 4945], [3581, 4951]], [[3591, 5117], [3723, 5134]], [[3070, 4475], [2939, 4461], [2870, 4109], [3010, 4108]], [[4044, 4738], [4172, 4733], [4189, 5044], [4052, 5055]], [[4265, 3964], [4403, 3911], [4412, 4205], [4289, 4235]], [[2631, 4046], [2491, 4039], [2413, 3664], [2540, 3666]], [[4000, 3789], [4132, 3749], [4158, 4096], [4020, 4118]], [[1970, 1142]], [[3754, 2286], [3892, 2248], [3963, 2622], [3813, 2662]], [[4112, 2780], [4255, 2707], [4257, 3167], [4179, 3167]], [[3625, 3193], [3743, 3162], [3801, 3417], [3680, 3462]], [[3807, 1326], [4049, 1306], [4114, 1949], [3948, 1957]], [[2345, 2834], [2207, 2817], [2206, 2558], [2333, 2553]], [[3379, 1974], [3466, 1908], [3542, 2134], [3418, 2182]]]"
27,"[[[3592, 5125], [3722, 5134]], [[3558, 4590], [3689, 4593], [3703, 4949], [3582, 4956]], [[3072, 4500], [2945, 4491], [2877, 4139], [3009, 4132]], [[3820, 5214]], [[4306, 5117]], [[4043, 4735], [4172, 4719], [4189, 5031], [4051, 5037]], [[4264, 3933], [4398, 3890], [4411, 4178], [4287, 4208]], [[2641, 4086], [2504, 4085], [2415, 3686], [2549, 3700]], [[4001, 3778], [4130, 3716], [4156, 4073], [4019, 4097]], [[1982, 1169]], [[3755, 2304], [3890, 2249], [3961, 2623], [3811, 2662]], [[4110, 2797], [4247, 2710], [4246, 3179], [4172, 3179]], [[3612, 3149], [3740, 3124], [3798, 3407], [3672, 3439]], [[2345, 2834], [2214, 2844], [2197, 2560], [2335, 2553]], [[2330, 779]], [[3379, 1964], [3458, 1874], [3528, 2079], [3406, 2121]], [[2741, 2520], [2601, 2526], [2595, 2298], [2733, 2291]]]"
28,"[[[3588, 5117], [3719, 5128]], [[3561, 4606], [3691, 4598], [3704, 4945], [3581, 4951]], [[3076, 4528], [2942, 4518], [2874, 4155], [3015, 4164]], [[4262, 3912], [4397, 3879], [4408, 4166], [4285, 4202]], [[3823, 5196]], [[4045, 4704], [4171, 4690], [4187, 5005], [4048, 5016]], [[4306, 5082]], [[2633, 4088], [2498, 4084], [2399, 3678], [2534, 3702]], [[3997, 3759], [4125, 3719], [4154, 4053], [4018, 4082]], [[4109, 2753], [4247, 2681], [4275, 3142], [4184, 3146]], [[1974, 1175]], [[3610, 3149], [3738, 3111], [3778, 3346], [3655, 3391]], [[3742, 2252], [3890, 2212], [3952, 2573], [3806, 2612]], [[3789, 1272], [4047, 1190], [4117, 1915], [3941, 1959]], [[2351, 2861], [2222, 2870], [2204, 2589], [2331, 2569]], [[2741, 2520], [2607, 2541], [2615, 2370], [2750, 2349]], [[2337, 721]]]"
29,"[[[3595, 5129], [3722, 5137]], [[3081, 4560], [2943, 4546], [2875, 4170], [3017, 4187]], [[3560, 4601], [3691, 4598], [3703, 4945], [3581, 4951]], [[3825, 5176], [3950, 5180]], [[4260, 3881], [4397, 3835], [4409, 4145], [4284, 4181]], [[4307, 5050]], [[2641, 4119], [2506, 4114], [2411, 3720], [2543, 3736]], [[4041, 4673], [4173, 4667], [4186, 4983], [4049, 4994]], [[3999, 3726], [4125, 3663], [4154, 4053], [4018, 4082]], [[3807, 1009], [4037, 1016], [4107, 1969], [3954, 1993]], [[1985, 1202]], [[4114, 2704], [4248, 2636], [4291, 3128], [4187, 3135]], [[3585, 3062], [3730, 3059], [3769, 3311], [3646, 3344]], [[3744, 2252], [3886, 2213], [3952, 2573], [3804, 2612]], [[2348, 2862], [2220, 2871], [2208, 2650], [2339, 2614]], [[2741, 2535], [2607, 2556], [2594, 2317], [2748, 2349]]]"
