,contours
20,"[[[3112, 4618], [2970, 4595], [3035, 4321], [3187, 4355]], [[3363, 5172], [3235, 5143], [3261, 4786], [3388, 4799]], [[3593, 5117], [3723, 5134]], [[3558, 4590], [3689, 4593], [3703, 4949], [3582, 4956]], [[3400, 4345], [3275, 4309], [3376, 4048], [3451, 4053]], [[3819, 4753], [3953, 4776], [3966, 5127], [3837, 5137]], [[4064, 4694], [4187, 4675], [4202, 4977], [4074, 4989]], [[4294, 4746], [4431, 4686], [4302, 5059]], [[3704, 3834], [3648, 3764], [3840, 3360], [3931, 3452]], [[3192, 3723], [3119, 3622], [3281, 3507], [3399, 3628]], [[2906, 2497], [2983, 2585], [2721, 2722], [2639, 2628]], [[4471, 3076], [4529, 2918]], [[3708, 3225], [3717, 3156], [3919, 3022], [3960, 3089]], [[2420, 968], [2215, 937]], [[2001, 3082]]]"
21,"[[[3105, 4644], [2960, 4624], [3035, 4368], [3183, 4392]], [[3592, 5117], [3722, 5137]], [[3390, 4373], [3262, 4314], [3365, 4053], [3437, 4062]], [[3562, 4606], [3691, 4593], [3704, 4954], [3584, 4960]], [[3357, 5196], [3233, 5181], [3263, 4841], [3390, 4851]], [[3820, 4753], [3952, 4776], [3967, 5127], [3837, 5134]], [[4064, 4694], [4186, 4668], [4202, 4977], [4073, 4989]], [[3688, 3852], [3625, 3780], [3825, 3406], [3917, 3493]], [[4297, 4743], [4433, 4680], [4303, 5055]], [[3175, 3682], [3089, 3621], [3244, 3482], [3352, 3552]], [[2918, 2466], [3005, 2552], [2754, 2717], [2672, 2638]], [[4396, 3159], [4508, 2946]], [[3663, 3315], [3658, 3212], [3894, 3029], [3943, 3133]], [[1954, 3040], [1993, 3092], [1934, 3071]], [[2432, 935], [2231, 937]]]"
22,"[[[3105, 4644], [2960, 4624], [3035, 4368], [3183, 4392]], [[3592, 5117], [3722, 5137]], [[3390, 4373], [3263, 4314], [3365, 4053], [3436, 4062]], [[3562, 4606], [3691, 4593], [3704, 4954], [3584, 4960]], [[3357, 5196], [3233, 5181], [3263, 4841], [3390, 4851]], [[3820, 4753], [3952, 4776], [3967, 5127], [3837, 5134]], [[4063, 4679], [4186, 4668], [4202, 4981], [4074, 4989]], [[3688, 3852], [3625, 3780], [3825, 3406], [3917, 3493]], [[4294, 4743], [4431, 4686], [4303, 5055]], [[3175, 3682], [3089, 3621], [3244, 3482], [3352, 3552]], [[2918, 2466], [3005, 2552], [2754, 2717], [2672, 2638]], [[4400, 3165], [4510, 2945]], [[3663, 3315], [3658, 3212], [3894, 3029], [3943, 3133]], [[1912, 2954], [1994, 3070], [1957, 3097]], [[2432, 935], [2231, 937]]]"
23,"[[[3592, 5117], [3724, 5140]], [[3105, 4662], [2961, 4641], [3042, 4408], [3181, 4414]], [[3375, 4369], [3259, 4306], [3350, 4045], [3433, 4067]], [[3356, 5212], [3232, 5197], [3256, 4853], [3385, 4872]], [[3561, 4606], [3687, 4588], [3704, 4949], [3582, 4955]], [[3821, 4754], [3952, 4776], [3966, 5127], [3837, 5134]], [[4062, 4695], [4186, 4675], [4202, 4981], [4073, 4989]], [[3682, 3857], [3616, 3779], [3815, 3411], [3908, 3498]], [[4297, 4749], [4432, 4690], [4302, 5063]], [[2938, 2477], [3013, 2551], [2765, 2716], [2683, 2636]], [[3174, 3692], [3082, 3609], [3234, 3493], [3324, 3522]], [[4442, 3083], [4501, 2894]], [[3647, 3294], [3656, 3199], [3886, 3044], [3932, 3149]], [[1963, 3048], [2054, 3115], [2030, 3165]], [[2423, 902], [2222, 903]]]"
24,"[[[3592, 5117], [3724, 5140]], [[3105, 4662], [2961, 4641], [3042, 4408], [3181, 4414]], [[3375, 4369], [3257, 4299], [3350, 4045], [3433, 4067]], [[3356, 5212], [3232, 5197], [3256, 4853], [3385, 4872]], [[3561, 4606], [3687, 4588], [3704, 4949], [3582, 4955]], [[3820, 4753], [3953, 4776], [3967, 5127], [3837, 5134]], [[4062, 4695], [4186, 4675], [4202, 4981], [4073, 4989]], [[3682, 3857], [3616, 3779], [3815, 3411], [3908, 3498]], [[4297, 4749], [4432, 4690], [4302, 5063]], [[2938, 2477], [3013, 2551], [2765, 2716], [2683, 2636]], [[3174, 3692], [3082, 3609], [3234, 3493], [3324, 3522]], [[4442, 3083], [4500, 2895]], [[3647, 3294], [3656, 3199], [3886, 3044], [3932, 3149]], [[1973, 3056], [2041, 3131], [1995, 3148]], [[2426, 901], [2214, 872]]]"
25,"[[[3109, 4711], [2964, 4693], [3030, 4432], [3176, 4453]], [[3594, 5125], [3723, 5131]], [[3830, 5212]], [[3558, 4590], [3690, 4593], [3704, 4949], [3582, 4956]], [[3356, 5240], [3229, 5236], [3256, 4914], [3384, 4925]], [[3379, 4433], [3263, 4380], [3340, 4083], [3456, 4117]], [[3818, 4753], [3952, 4772], [3967, 5129], [3838, 5137]], [[4060, 4679], [4187, 4667], [4202, 4981], [4074, 4989]], [[4297, 4746], [4431, 4686], [4302, 5059]], [[3679, 3914], [3595, 3794], [3806, 3450], [3896, 3517]], [[2967, 2471], [3053, 2583], [2791, 2696], [2702, 2603]], [[4462, 3005], [4438, 2812]], [[3178, 3714], [3075, 3654], [3242, 3565], [3347, 3655]], [[3639, 3270], [3646, 3215], [3856, 3092], [3905, 3144]], [[2054, 3231], [1971, 3159], [2057, 3060]]]"
26,"[[[3109, 4711], [2964, 4693], [3030, 4432], [3176, 4453]], [[3588, 5109], [3723, 5131]], [[3830, 5212]], [[3558, 4590], [3689, 4593], [3704, 4949], [3582, 4956]], [[3357, 5243], [3229, 5236], [3262, 4918], [3384, 4925]], [[3379, 4433], [3263, 4380], [3340, 4083], [3456, 4117]], [[3818, 4753], [3952, 4772], [3967, 5129], [3838, 5137]], [[4060, 4679], [4187, 4667], [4202, 4981], [4074, 4989]], [[4297, 4746], [4431, 4686], [4302, 5059]], [[3677, 3914], [3593, 3794], [3806, 3450], [3896, 3517]], [[2967, 2471], [3053, 2583], [2791, 2696], [2702, 2603]], [[4462, 3005], [4438, 2812]], [[3178, 3714], [3079, 3665], [3242, 3565], [3347, 3655]], [[3638, 3270], [3646, 3215], [3856, 3092], [3907, 3156]], [[2032, 3237], [1947, 3050], [2107, 3099]]]"
27,"[[[3105, 4724], [2960, 4699], [3023, 4432], [3171, 4463]], [[3588, 5109], [3723, 5131]], [[3560, 4606], [3689, 4593], [3706, 4953], [3581, 4956]], [[3381, 4463], [3262, 4409], [3332, 4099], [3452, 4126]], [[3356, 5256], [3229, 5251], [3252, 4925], [3382, 4945]], [[3819, 4753], [3951, 4773], [3967, 5129], [3837, 5134]], [[4061, 4671], [4187, 4667], [4202, 4977], [4073, 4989]], [[3668, 3915], [3590, 3820], [3794, 3474], [3881, 3538]], [[4296, 4746], [4430, 4686], [4303, 5055]], [[4453, 3011], [4470, 2916]], [[2981, 2472], [3059, 2566], [2808, 2693], [2723, 2599]], [[3172, 3748], [3085, 3711], [3237, 3591], [3350, 3692]], [[3613, 3365], [3611, 3264], [3848, 3068], [3900, 3184]], [[2108, 3166], [2051, 3208], [2000, 3084]]]"
28,"[[[3107, 4747], [2960, 4724], [3029, 4471], [3176, 4490]], [[3588, 5109], [3723, 5131]], [[3378, 4480], [3259, 4416], [3324, 4101], [3448, 4142]], [[3557, 4590], [3689, 4593], [3706, 4953], [3581, 4956]], [[3820, 4753], [3951, 4769], [3967, 5127], [3837, 5134]], [[3356, 5272], [3232, 5266], [3256, 4950], [3382, 4958]], [[4060, 4687], [4187, 4660], [4201, 4981], [4074, 4989]], [[4296, 4746], [4432, 4685], [4302, 5059]], [[3662, 3934], [3574, 3835], [3795, 3542], [3872, 3565]], [[3175, 3778], [3074, 3711], [3234, 3593], [3342, 3702]], [[2979, 2440], [3055, 2532], [2818, 2661], [2738, 2582]], [[4442, 3033], [4461, 2890]], [[3602, 3306], [3612, 3224], [3835, 3084], [3885, 3175]], [[2020, 2808], [2188, 3093]]]"
29,"[[[3593, 5117], [3721, 5131]], [[3376, 4499], [3257, 4439], [3314, 4103], [3448, 4157]], [[3558, 4596], [3690, 4593], [3706, 4953], [3582, 4960]], [[3107, 4769], [2952, 4748], [3028, 4498], [3170, 4503]], [[3356, 5288], [3224, 5280], [3250, 4959], [3378, 4971]], [[3820, 4753], [3951, 4769], [3967, 5127], [3837, 5134]], [[4060, 4687], [4187, 4667], [4202, 4981], [4074, 4989]], [[3653, 3948], [3567, 3846], [3782, 3519], [3866, 3569]], [[4296, 4746], [4432, 4685], [4302, 5059]], [[3161, 3800], [3073, 3755], [3241, 3629], [3338, 3720]], [[2998, 2455], [3037, 2475], [2827, 2644], [2749, 2580]], [[4337, 3166], [4416, 2887]], [[2096, 2893], [2238, 3133]], [[3599, 3281], [3608, 3210], [3824, 3074], [3871, 3166]], [[4421, 2361], [4512, 2515]]]"
