,contours
20,"[[[4078, 5049], [4216, 4992]], [[4019, 2841], [3995, 3038], [3785, 2756], [3933, 2468]], [[2713, 3455], [2809, 3383], [3081, 3784], [3009, 3872]], [[3641, 4720], [3768, 4711], [3774, 5083], [3629, 5107]], [[3262, 3813], [3366, 3688], [3494, 3973], [3432, 4040]], [[3845, 5054], [3986, 4982]], [[3346, 4415], [3434, 4388], [3497, 4740], [3374, 4781]], [[4614, 3737]], [[2528, 3079], [2595, 2987], [2897, 3234], [2835, 3304]], [[2989, 1457], [2884, 1448]], [[2769, 1526]]]"
21,"[[[4077, 5046], [4212, 4994]], [[3639, 4715], [3766, 4696], [3773, 5068], [3628, 5096]], [[2700, 3444], [2795, 3373], [3068, 3770], [3001, 3863]], [[3253, 3777], [3365, 3643], [3511, 3904], [3429, 4023]], [[4027, 2848], [4005, 3057], [3792, 2775], [3942, 2462]], [[3845, 5051], [3988, 4977]], [[3339, 4392], [3429, 4369], [3492, 4706], [3368, 4754]], [[2523, 3069], [2587, 2988], [2886, 3235], [2821, 3294]], [[2778, 1569], [2641, 1552]], [[2988, 1424], [2879, 1425]], [[3620, 2105], [3469, 2267], [3438, 1873], [3526, 1824]]]"
22,"[[[4076, 5042], [4214, 4989]], [[3248, 3781], [3355, 3650], [3503, 3905], [3426, 4017]], [[2687, 3434], [2789, 3395], [3062, 3772], [2991, 3850]], [[3640, 4709], [3763, 4687], [3771, 5042], [3627, 5083]], [[4034, 2856], [4014, 3064], [3799, 2782], [3950, 2470]], [[3844, 5048], [3986, 4975]], [[3328, 4358], [3421, 4356], [3491, 4683], [3367, 4737]], [[2502, 3037], [2569, 2956], [2862, 3203], [2811, 3272]], [[2774, 1550]], [[2985, 1392], [2879, 1425]], [[3628, 2171], [3479, 2329], [3438, 1873], [3527, 1800]]]"
23,"[[[4076, 5043], [4213, 4990]], [[3238, 3778], [3349, 3644], [3498, 3905], [3422, 4009]], [[2676, 3424], [2775, 3374], [3049, 3747], [2972, 3814]], [[3636, 4671], [3761, 4663], [3770, 5027], [3626, 5068]], [[3315, 4356], [3442, 4349], [3491, 4683], [3367, 4743]], [[4038, 2868], [4020, 3058], [3807, 2789], [3949, 2484]], [[3844, 5048], [3986, 4978]], [[2552, 2957], [2855, 3204], [2797, 3262]], [[2774, 1550]], [[2981, 1397], [2879, 1425]], [[3631, 2095], [3490, 2300], [3413, 1903], [3513, 1785]]]"
24,"[[[4076, 5043], [4213, 4990]], [[3238, 3778], [3348, 3645], [3498, 3905], [3422, 4009]], [[2676, 3424], [2775, 3374], [3049, 3747], [2972, 3814]], [[3636, 4671], [3761, 4663], [3770, 5027], [3626, 5068]], [[3315, 4356], [3441, 4349], [3491, 4683], [3367, 4743]], [[4038, 2868], [4019, 3059], [3807, 2789], [3949, 2484]], [[3842, 5040], [3985, 4966]], [[2552, 2957], [2855, 3204], [2797, 3262]], [[2774, 1550]], [[2981, 1397], [2879, 1425]], [[3631, 2095], [3490, 2300], [3413, 1903], [3513, 1785]]]"
25,"[[[3528, 5264]], [[4076, 5043], [4212, 4990]], [[3224, 3767], [3334, 3634], [3487, 3885], [3410, 3975]], [[4048, 2874], [4032, 3091], [3813, 2797], [3949, 2511]], [[3310, 4375], [3438, 4345], [3487, 4660], [3364, 4721]], [[2660, 3403], [2757, 3353], [3039, 3731], [2960, 3801]], [[3634, 4673], [3760, 4647], [3769, 5012], [3626, 5044]], [[3841, 5040], [3985, 4967]], [[2538, 2947], [2833, 3172], [2776, 3241]], [[2774, 1550]], [[2978, 1366], [2874, 1398]], [[3630, 2120], [3483, 2281], [3428, 1700], [3528, 1649]]]"
26,"[[[3531, 5256]], [[4075, 5039], [4211, 4987]], [[4055, 2909], [4042, 3110], [3820, 2806], [3968, 2511]], [[3218, 3771], [3322, 3633], [3480, 3879], [3408, 3975]], [[3302, 4354], [3419, 4348], [3483, 4638], [3360, 4706]], [[3632, 4651], [3757, 4636], [3768, 4987], [3624, 5022]], [[2652, 3403], [2748, 3353], [3038, 3731], [2949, 3788]], [[3841, 5037], [3985, 4967]], [[2540, 2969], [2831, 3161], [2761, 3220]], [[2769, 1526]], [[2988, 1424], [2877, 1427]], [[3620, 2105], [3479, 2192], [3450, 1661], [3546, 1684]]]"
27,"[[[4074, 5040], [4211, 4987]], [[3531, 5244]], [[4062, 2918], [4050, 3116], [3829, 2813], [3962, 2555]], [[3210, 3767], [3311, 3642], [3472, 3866], [3400, 3946]], [[3294, 4326], [3418, 4338], [3479, 4616], [3357, 4683]], [[2636, 3382], [2729, 3321], [3019, 3697], [2929, 3751]], [[3631, 4647], [3754, 4632], [3766, 4968], [3624, 5005]], [[3842, 5037], [3984, 4964]], [[2510, 2926], [2819, 3151], [2749, 3210]], [[2770, 1524], [2639, 1555]], [[2986, 1426], [2879, 1425]], [[3640, 2024], [3499, 2243], [3431, 1881], [3515, 1759]]]"
28,"[[[4073, 5032], [4208, 4973]], [[3414, 5236], [3532, 5224]], [[4073, 2937], [4062, 3134], [3837, 2821], [3979, 2530]], [[2620, 3372], [2713, 3311], [3005, 3683], [2920, 3740]], [[3293, 4327], [3417, 4332], [3474, 4589], [3354, 4662]], [[3204, 3771], [3309, 3643], [3466, 3868], [3396, 3948]], [[3631, 4623], [3753, 4598], [3766, 4951], [3623, 4983]], [[3842, 5037], [3984, 4964]], [[2491, 2894], [2801, 3130], [2740, 3199]], [[2769, 1526]], [[2976, 1368], [2878, 1394]], [[3649, 2077], [3514, 2306], [3418, 1868], [3525, 1705]]]"
29,"[[[4073, 5033], [4208, 4973]], [[3414, 5220], [3532, 5212]], [[2603, 3351], [2701, 3290], [2986, 3658], [2905, 3719]], [[4094, 2919], [4073, 3139], [3842, 2858], [3993, 2548]], [[3286, 4273], [3380, 4293], [3474, 4582], [3351, 4652]], [[3629, 4625], [3750, 4593], [3764, 4938], [3624, 4971]], [[3193, 3758], [3297, 3642], [3462, 3862], [3391, 3944]], [[3841, 5034], [3983, 4961]], [[2476, 2895], [2784, 3109], [2724, 3178]], [[2769, 1526], [2642, 1579]], [[2983, 1395], [2876, 1396], [3020, 969]]]"
