,contour
139,"[[2644, 1577], [2476, 1537]]"
140,"[[3117, 2938], [3156, 2803], [3392, 2789], [3362, 2893]]"
141,"[[3932, 2807], [3876, 2564]]"
142,"[[3027, 5178], [3176, 5170]]"
143,"[[3248, 5051], [3375, 5039], [3244, 5328]]"
144,"[[3561, 4895]]"
145,"[[2356, 2707], [2366, 2587], [2705, 2509], [2733, 2665]]"
146,"[[2700, 4132], [2748, 4311]]"
147,"[[3946, 3784], [3953, 4071], [3712, 4126], [3745, 3886]]"
148,"[[2644, 1577], [2476, 1537]]"
149,"[[3117, 2938], [3156, 2803], [3395, 2789], [3363, 2892]]"
150,"[[3934, 2806], [3876, 2564]]"
151,"[[3028, 5179], [3175, 5170]]"
152,"[[3248, 5051], [3376, 5039], [3244, 5328]]"
153,"[[3561, 4895]]"
154,"[[2710, 4038], [2774, 4301], [2384, 3999]]"
155,"[[3998, 3791], [3982, 4090], [3719, 4109], [3777, 3839]]"
156,"[[2335, 2714], [2346, 2595], [2692, 2526], [2718, 2669]]"
157,"[[3094, 2920], [3117, 2715], [3364, 2804], [3336, 2910]]"
158,"[[2642, 1578]]"
159,"[[3944, 2877], [3918, 2676]]"
160,"[[2541, 2134], [2431, 2192], [2420, 1994], [2559, 1947]]"
161,"[[3028, 5179], [3175, 5170]]"
162,"[[3561, 4895]]"
163,"[[3248, 5051], [3375, 5039], [3244, 5328]]"
164,"[[2748, 4081], [2803, 4329]]"
165,"[[2310, 2738], [2316, 2589], [2666, 2521], [2704, 2718]]"
166,"[[4075, 3865], [3734, 4036], [3761, 3910]]"
167,"[[2653, 1559]]"
168,"[[3075, 2960], [3108, 2755], [3345, 2819], [3315, 2941]]"
169,"[[3959, 2926], [3917, 2829], [4016, 2555]]"
170,"[[2403, 1602], [2322, 1605]]"
171,"[[3028, 5179], [3175, 5172]]"
172,"[[3561, 4895]]"
173,"[[3248, 5053], [3376, 5041], [3244, 5328]]"
174,"[[2722, 4048], [2782, 4338], [2377, 3960]]"
175,"[[3755, 4039], [3785, 3926]]"
176,"[[2292, 2740], [2276, 2573], [2654, 2553], [2680, 2693]]"
177,"[[3054, 2952], [3067, 2891], [3294, 2809], [3286, 2913]]"
178,"[[2661, 1571]]"
179,"[[3937, 2770], [3836, 2589], [4061, 2478]]"
180,"[[3028, 5179], [3175, 5172]]"
181,"[[3561, 4895]]"
182,"[[3248, 5053], [3376, 5039], [3244, 5328]]"
183,"[[2735, 4071], [2812, 4360], [2463, 4035]]"
184,"[[3777, 4012], [3835, 3849]]"
185,"[[2280, 2729], [2274, 2616], [2643, 2542], [2661, 2685]]"
186,"[[3034, 2958], [3039, 2895], [3268, 2784], [3257, 2884]]"
187,"[[2656, 1543]]"
188,"[[3938, 2847], [3830, 2738], [3983, 2453]]"
189,"[[2473, 1706], [2296, 1694]]"
