,contour
71,"[[3643, 4696], [3770, 4669], [3842, 4964], [3715, 4993]]"
72,"[[2994, 1938], [2839, 1859], [2823, 1503], [3030, 1511]]"
73,"[[2146, 2224], [2342, 2238], [2483, 2296], [2446, 2340]]"
74,"[[2774, 2904], [2651, 2915], [2628, 2652], [2734, 2584]]"
75,"[[2443, 1402]]"
76,"[[4216, 4087], [4344, 4059], [4403, 4370], [4289, 4400]]"
77,"[[3821, 4298], [3953, 4288], [4020, 4577], [3903, 4606]]"
78,"[[2611, 3755], [2417, 3754], [2457, 3542], [2627, 3521]]"
79,"[[3084, 4314], [2955, 4287], [2831, 3902], [2972, 3937]]"
80,"[[3371, 4720], [3512, 4711], [3582, 5065], [3459, 5080]]"
81,"[[3963, 5120], [4085, 5078], [4140, 5359]]"
82,"[[3038, 4725]]"
83,"[[3634, 4677], [3767, 4660], [3840, 4956], [3714, 4988]]"
84,"[[2920, 1845], [2765, 1779], [2834, 1651], [2988, 1500]]"
85,"[[2176, 2271], [2378, 2253], [2545, 2331], [2461, 2374]]"
86,"[[2439, 1400]]"
87,"[[2771, 2905], [2633, 2900], [2614, 2641], [2711, 2589]]"
88,"[[3471, 2445], [3610, 2442], [3668, 2713], [3541, 2731]]"
89,"[[4211, 4074], [4342, 4041], [4398, 4348], [4284, 4383]]"
90,"[[3085, 4328], [2948, 4293], [2839, 3927], [2970, 3956]]"
91,"[[3810, 4267], [3951, 4275], [4019, 4562], [3896, 4589]]"
92,"[[2624, 3780], [2424, 3770], [2461, 3575], [2636, 3560]]"
93,"[[3366, 4711], [3506, 4697], [3580, 5058], [3459, 5072]]"
94,"[[3959, 5086], [4081, 5055], [4137, 5337], [3992, 5373]]"
95,"[[3636, 4682], [3766, 4656], [3838, 4947], [3711, 4979]]"
96,"[[3040, 4747]]"
97,"[[2913, 1846], [2770, 1799], [2776, 1430], [2980, 1458]]"
98,"[[2126, 2241], [2334, 2272], [2497, 2312], [2425, 2341]]"
