,img_location_x,img_location_y
105,2262.64315,1898.792349
106,2232.380186,1900.002867
107,2194.854111,1900.002867
108,2160.959591,1902.423904
109,2121.012479,1902.423904
110,2087.117959,1903.634423
111,2048.381365,1904.844942
112,2043.539291,1647.004489
113,2082.275885,1644.583452
114,2116.170404,1644.583452
115,2154.906998,1642.162414
116,2187.590999,1642.162414
117,2227.538112,1640.951896
118,2256.590557,1639.741377
119,2297.748188,1638.530859
120,2330.432189,1639.741377
121,2370.379302,1638.530859
122,2545.904493,1634.899303
123,2585.851605,1632.478266
124,2616.114569,1631.267747
125,2656.061681,1630.057229
126,2691.16672,1630.057229
127,2728.692795,1627.636192
128,2763.797833,1627.636192
129,2802.534427,1626.425673
130,2832.797391,1625.215155
131,2872.744503,1624.004636
132,2911.481097,1622.794118
133,2951.42821,1621.583599
134,2984.112211,1621.583599
135,3025.269842,1621.583599
136,3054.322287,1619.162562
137,3095.479918,1617.952043
138,3129.374438,1616.741525
139,3169.32155,1615.531006
140,3192.321403,1548.952485
141,3166.900513,1516.268484
142,3134.216512,1516.268484
143,3097.900955,1518.689522
144,2896.954874,1524.742114
145,2669.377386,1533.215744
146,2233.590705,1546.531448
147,2036.27618,1550.163004
148,1843.844746,2060.069436
149,1843.844746,2124.316958
150,1843.844746,2190.255205
151,1843.844746,2269.719245
152,1843.844746,2339.03894
153,2856.094371,3584.240756
154,2872.481391,3664.915315
155,2876.263011,3695.168275
156,2886.34733,3748.110954
157,2888.86841,3770.800674
158,2895.17111,3818.701193
159,2898.95273,3841.390913
160,2905.25543,3889.291432
161,2911.55813,3930.889252
162,2919.12137,4004.000571
163,2922.90299,4038.035151
164,2929.20569,4111.14647
165,2931.72677,4143.92051
166,2939.29001,4227.116149
167,2941.81109,4269.974508
168,2951.89541,4358.212307
169,2965.76135,4356.951767
170,2955.67703,4267.453428
171,2953.15595,4227.116149
172,2945.59271,4143.92051
173,2944.33217,4108.62539
174,2935.50839,4035.514071
175,2934.24785,4000.218951
176,2927.94515,3925.847092
177,2920.38191,3889.291432
178,2910.29759,3836.348753
179,2910.29759,3814.919573
180,2902.73435,3767.019054
181,2898.95273,3745.589874
182,2888.86841,3690.126115
183,2886.34733,3663.654775
184,2873.741931,3591.803996
185,3075.428328,3526.255916
186,3085.512648,3599.367236
187,3088.033728,3625.838575
188,3095.596968,3677.520715
189,3099.378588,3709.034214
190,3106.941828,3770.800674
191,3110.723448,3809.877413
192,3118.286688,3871.643873
193,3122.068308,3911.981152
194,3129.631548,3973.747611
195,3130.892088,4005.261111
196,3138.455328,4083.41459
197,3143.497488,4117.44917
198,3147.279108,4189.299949
199,3152.321267,4235.939929
200,3161.145047,4309.051248
201,3175.010987,4306.530168
202,3166.187207,4234.679389
203,3162.405587,4189.299949
204,3154.842347,4116.18863
205,3153.581807,4082.15405
206,3144.758028,4005.261111
207,3143.497488,3972.487071
208,3134.673708,3909.460072
209,3132.152628,3869.122793
210,3124.589388,3808.616873
211,3120.807768,3769.540134
212,3111.983988,3706.513134
213,3109.462908,3674.999635
214,3100.639128,3623.317495
215,3098.118048,3595.585616
216,3081.731028,3506.087277
217,3067.865088,3901.896832
218,3045.175369,3903.157372
219,3025.006729,3760.716354
220,2984.669449,3775.842834
221,2951.89541,3706.513134
222,2960.71919,3601.888316
223,3042.654289,3714.076374
224,2731.884162,3291.212029
225,2675.530021,3329.21831
226,2589.032968,3382.951328
227,2503.846476,3437.994907
228,2423.90223,3482.553996
229,2349.200229,3525.802522
230,2714.846864,3291.212029
231,2594.275213,3123.460168
232,2554.958371,3149.671396
233,2463.219072,3206.025537
234,2379.343142,3257.137432
235,2295.467211,3309.559889
236,2480.25637,2963.571676
237,2438.318405,2991.093465
238,2360.995282,3039.584238
239,2277.119351,3086.764448
240,2211.591281,3122.149607
241,2143.442087,3158.845326
242,2482.877493,2945.223816
243,2360.995282,3451.100522
244,2509.088722,3356.7401
245,2573.306231,3234.857888
246,2427.833914,3329.21831
247,2273.187667,3242.721257
248,2416.038861,3150.981958
249,2480.25637,3029.099746
250,2693.183984,1930.161387
251,2712.542276,2021.790638
252,2735.772228,2114.710443
253,2774.488813,2255.380703
254,2800.29987,2343.138296
255,2835.144796,2450.254182
256,2891.929122,2602.539418
257,3245.5406,2436.058101
258,3192.627934,2276.029548
259,3164.235771,2177.947532
260,3141.00582,2092.771045
261,2917.740178,1981.7835
262,2942.260682,2099.223809
263,2977.105609,2224.407435
264,3011.950536,2327.651662
265,3041.633251,2414.118703
266,3077.768731,2500.585743
267,3039.052146,2152.136476
268,3080.349837,2325.070556
269,3174.560194,2327.651662
270,2853.212536,2207.630248
271,2919.030731,2387.017093
272,3010.659983,2380.564329
273,3373.787338,2978.068686
274,3489.096734,3189.469245
275,3536.577074,3169.120528
276,3705.01923,3104.682924
277,3857.634607,3045.897742
278,3972.944003,3008.591761
279,3492.488187,3169.120528
280,3391.875087,2981.460139
281,3435.963973,2965.633359
282,3607.797583,2900.065271
283,3731.020369,2858.237353
284,3830.502985,2824.322825
285,3944.681896,2791.538781
286,3568.230633,2988.243044
287,3616.841457,2993.895466
288,4012.157802,4011.944374
289,3925.690761,3909.390442
290,3879.440949,3851.075462
291,3792.973908,3750.532391
292,3722.593759,3674.119658
293,3644.170164,3585.641756
294,3571.779154,3503.196438
295,3495.36642,3416.729398
296,3429.007994,3342.327526
297,3342.540953,3247.81704
298,3280.20425,3187.491197
299,3173.628595,3088.958989
300,3271.931106,2972.879663
301,3338.259519,2882.230831
302,3417.853615,2773.894422
303,3477.549188,2694.300326
304,3546.088548,2599.2296
305,3616.838856,2504.158874
306,3685.378217,2411.299095
307,3751.70663,2325.072157
308,3818.035044,2234.423325
309,3044.203552,2930.871668
310,3103.899125,2853.488518
311,3176.860379,2751.784951
312,3254.243529,2652.292331
313,3318.360995,2566.065393
314,3386.900356,2470.994667
315,2950.427381,2826.632214
316,2903.967478,2769.847889
317,2817.930622,2673.48661
318,2747.3804,2592.611965
319,2661.343544,2501.412897
320,2578.748162,2410.21383
321,2497.873517,2319.014762
322,2418.71961,2229.536432
323,2332.682753,2134.89589
324,2248.366634,2038.534611
325,2177.816412,1959.380703
326,2024.670808,2100.481148
327,2096.941767,2181.355792
328,2172.654201,2265.671911
329,2260.411794,2363.753928
330,2337.844965,2449.790784
331,2410.115924,2528.944691
332,2503.035729,2633.909656
333,2585.631111,2725.108724
334,2669.94723,2819.749265
335,2754.263349,2914.389807
336,2826.534308,3000.426663
337,2922.895587,3095.067205
